location,name,score
"Seattle, WA, United States",Matt Bierner,"2,060"
ᎬᎪᏒᏆh,ɢʀᴜɴᴛ,"2,060"
"Luxembourg City, Luxembourg",Viacheslav Vedenin,"2,059"
Egypt,Anwarvic,"2,059"
"Tel Aviv, Israel",Jacob Relkin,"2,057"
France,Kévin Chalet,"2,055"
"Philadelphia, PA",kojiro,"2,051"
,Przemyslaw Szufel,"2,051"
"New York, NY",Daniel Ruoso,"2,050"
"Düsseldorf, Germany",sleske,"2,049"
,Sebastian Wędzel,"2,048"
"Madrid, Spain",fortran,"2,046"
"Los Angeles, CA",ForYourOwnGood,"2,046"
Palouse,Tung,"2,041"
Switzerland,Mike Hordecki,"2,040"
,neversaint,"2,040"
Delhi,Alok,"2,040"
South Africa,JL.,"2,038"
,mcemmy,"2,038"
"Boston, MA",Eric,"2,036"
,karthikr,"2,034"
,orip,"2,033"
"Alexandria, VA",vcsjones,"2,031"
India,Shakti Singh,"2,030"
"Sydney, Australia",stefanB,"2,030"
South Africa,jcuenod,"2,030"
Costa Rica,Aaron Villalobos,"2,030"
"Québec, QC, Canada",Sridhar Ratnakumar,"2,029"
"Helsinki, Finland",Jonik,"2,028"
"Da Nang, Vietnam",Phan Van Linh,"2,028"
"Cambridge, UK",Yuci,"2,028"
,deamon,"2,025"
"Adobe Research, San Jose, CA, USA",Franck Dernoncourt,"2,024"
"London, United Kingdom",Herman Schaaf,"2,022"
Greece,thkala,"2,017"
"Belgrade, Serbia",Damjan Pavlica,"2,016"
Brussels,Moody_Mudskipper,"2,014"
"Melbourne VIC, Australia",Kris,"2,013"
"Mountain View, CA, USA",max,"2,012"
,x00,"2,012"
Singapore,MichaelChirico,"2,011"
"Ethekwini, South Africa",Oliver,"2,009"
"Bangalore, Karnataka, India",Arghya Sadhu,"2,009"
Florida,Matchu,"2,008"
"London, United Kingdom",Mark Longair,"2,006"
"New Jersey, USA",Mark Rajcok,"2,006"
"Bergen, Norway",leftaroundabout,"2,005"
"Kerala, India | Stuttgart, Germany",JeJo,"2,004"
,Jack Hua - MSFT,"2,004"
"Gothenburg, Sweden",Jacob Rask,"2,000"
"Portland, OR, United States",Trenton McKinney,"2,000"
,John Millikin,"1,996"
"Stockholm, Sweden",Wilt,"1,994"
"Manhattan, New York, NY, USA",Erik,"1,993"
,Daniel A.A. Pelsmaeker,"1,993"
Czech Republic,Pavel Stehule,"1,992"
Virginia,BMitch,"1,990"
"Zurich, Switzerland",Dimitar Asenov,"1,990"
Germany,Sascha,"1,990"
"Seoul, South Korea",falsetru,"1,988"
"Tehran, Tehran Province, Iran",Hashem Qolami,"1,988"
"Zaragoza, España",pedrofb,"1,988"
"Spanaway, WA",Web_Designer,"1,986"
"Mountain View, CA, USA",Not_a_Golfer,"1,985"
Colombia,Carlos Cordoba,"1,985"
"Taipei, Taiwan",Darren Tsai,"1,985"
"ℂ𝕙𝕚𝕔𝕒𝕘𝕠, 𝕀𝕃",wim,"1,980"
"Palo Alto, CA, United States",Gibolt,"1,980"
"Oulu, Finland",Janne Annala,"1,980"
"Philadelphia, PA, USA",Eugene,"1,979"
Germany,helpermethod,"1,979"
Germany,Mecki,"1,976"
Southern California,onteria_,"1,976"
,nulltoken,"1,976"
,Simon_Weaver,"1,971"
,Steve Harrison,"1,970"
"France, Europe",jakub.g,"1,970"
"Los Angeles, CA",Naftuli Kay,"1,968"
"Washington, DC",James McNellis,"1,966"
"Bangalore, Karnataka, India",sudo bangbang,"1,966"
"Concord, NC",Joe Audette,"1,965"
,Joe,"1,964"
,callum,"1,964"
"New York, United States",mythz,"1,963"
"Didcot, United Kingdom",Shawn Chin,"1,962"
"Cincinnati, OH, United States",Ryan Shillington,"1,962"
Finland,AKX,"1,959"
Australia.,Kingsley,"1,959"
"New York, NY, United States",Wes McKinney,"1,957"
UK,Maxim,"1,957"
"Sydney, Australia",Stennie,"1,955"
"Oslo, Norway",codeape,"1,954"
Russia,Lazy Badger,"1,953"
,r2evans,"1,950"
"Montreal, QC, Canada",Lewis Diamond,"1,950"
"Barcelona, Spain",Giorgio Polvara - Gpx,"1,950"
"Sydney, Australia",skaffman,"1,948"
Germany,fredoverflow,"1,948"
,001,"1,948"
'Murica,rectangletangle,"1,944"
"Velachery, Chennai, Tamil Nadu, India",RavinderSingh13,"1,943"
"Columbus, OH",bsr,"1,940"
United States,cdhowie,"1,939"
California,Bill Karwin,"1,938"
"London, Ontario, Canada",Crescent Fresh,"1,938"
"Aptos, CA, USA",chovy,"1,938"
,neuromancer,"1,938"
"Ahmedabad, Gujarat, India",Ravi,"1,938"
USA,Cascabel,"1,936"
UK,Sweeper,"1,935"
"Melbourne, Australia",basarat,"1,931"
Germany,sth,"1,930"
Europe,Hristo Iliev,"1,928"
,Nathan,"1,928"
,fancy,"1,928"
"Visaginas, Lithuania",Vao Tsun,"1,928"
,Rono,"1,928"
Poland,styvane,"1,926"
Pune,Rohan,"1,926"
"Helsinki, Uusimaa, Finland",Caner,"1,925"
"Victoria, Canada",zombat,"1,923"
"Chemnitz, Germany",guettli,"1,921"
,Danny Fox,"1,920"
"Vienna, Austria",joe,"1,920"
Israel,adamk,"1,918"
"Bothell, WA",gilly3,"1,916"
"Basel, Switzerland",mpro,"1,913"
"San Francisco, CA, USA",Pedro M Duarte,"1,910"
"London, United Kingdom",mjs,"1,908"
,Pavlo Ostasha,"1,906"
"Alexandria, Egypt",Amir Makram,"1,906"
,Schleis,"1,905"
"Atlanta, GA",Vim Diesel,"1,904"
,Tarun Lalwani,"1,901"
,Hassan Hodges,"1,896"
"Guildford, United Kingdom",Alasdair,"1,893"
"Mountain View, CA",Daniel Stutzbach,"1,891"
,np8,"1,891"
"Sydney, Australia",Casebash,"1,890"
"St. Paul, MN, United States",Programmer Bruce,"1,890"
"Munich, Germany",Sven,"1,889"
"Manchester, United Kingdom",Donal Fellows,"1,888"
,user2554330,"1,885"
"Uppsala, Sweden",Mikael Eriksson,"1,882"
"Paris, France",user2915097,"1,882"
"Porsgrunn, Norway",oma,"1,881"
"Kyle, TX, United States",joshuapoehls,"1,880"
"Kraków, Poland",Dan,"1,878"
"Paris, France",olibre,"1,878"
"Brisbane, Australia",captainclam,"1,878"
"Bogota, Colombia",diegueus9,"1,878"
"Rome, Italy",leonardfactory,"1,878"
"London, United Kingdom",NPE,"1,876"
Germany,Mike Müller,"1,876"
"Philadelphia, PA",Artem Bilan,"1,875"
"Pittsburgh, PA",ColinD,"1,872"
"Chicago, IL, United States",Ashton Thomas,"1,872"
,Robert,"1,866"
India,turivishal,"1,865"
,garnaat,"1,864"
"Tehran, Tehran Province, Iran",azerafati,"1,861"
,Matt,"1,860"
United States,Mark Szymanski,"1,856"
Lebanon,Peter Haddad,"1,855"
Croazia,Giovanni Esposito,"1,851"
,Slauma,"1,850"
"Sydney, Australia",Alex B,"1,850"
"Mexico City, Distrito Federal, Mexico",hectorsq,"1,850"
"Berlin, Germany",Martin v. Löwis,"1,848"
,Blakes Seven,"1,848"
"Chennai, Tamil Nadu, India",Vinoth Kumar,"1,848"
"Seattle, WA",hpaulj,"1,846"
"Boston, MA, United States",Anthony Forloney,"1,846"
,Zags,"1,846"
,Inanc Gumus,"1,846"
"Ann Arbor, MI, United States",MrFlick,"1,845"
"Portland, OR, United States",evanmcdonnal,"1,844"
The last place you'd expect,pguardiario,"1,841"
,James,"1,840"
"Timișoara, Timiș County, Romania",Titian Cernicova-Dragomir,"1,838"
"Hyderabad, India",Amit Yadav,"1,838"
"Houston, TX",Sam Harwell,"1,836"
The Netherlands,The fourth bird,"1,835"
,blueFast,"1,834"
United Kingdom,Arvind Kumar Avinash,"1,834"
"Moscow, Russia",Vlad from Moscow,"1,829"
"Tel Aviv, Israel",Mureinik,"1,826"
中国Jiangsu Sheng,Jay Gong,"1,826"
"Zürich, Switzerland",Ondra Žižka,"1,821"
,Matt McCutchen,"1,820"
"Lagos, Nigeria",EngrEric,"1,820"
Switzerland,ouah,"1,819"
"Amsterdam, Netherlands",Alexander Udalov,"1,817"
"Costa Mesa, CA, United States",dave,"1,816"
"New York, United States",codegeek,"1,816"
Netherlands,Roel Spilker,"1,815"
"Paris, France",Thomas Orozco,"1,814"
"Kyiv, місто Київ, Ukraine",ktretyak,"1,814"
"Wellington, New Zealand",jdi,"1,812"
"Oslo, Norway",Rafael Winterhalter,"1,811"
Lebanon,Pascal Fares,"1,811"
,Freewind,"1,810"
"St Louis, MO",paxos1977,"1,810"
South Moravian Region,Qwerty,"1,809"
Catalonia,Oriol,"1,808"
"Toronto, ON, Canada",Daniel Vandersluis,"1,808"
"Toronto, Canada",Thierry Lam,"1,808"
Wisconsin,Ajedi32,"1,808"
"Ulm, Germany",Gumbo,"1,806"
"Singapore, Singapore",jop,"1,806"
"Tempe, AZ, USA",Rohit Singh,"1,806"
"London, United Kingdom",Daniel Roseman,"1,803"
"London, UK",Xavier Guihot,"1,803"
Berlin,Holger,"1,802"
India,Venkatachalam,"1,802"
